date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-25,Dallas,0.0243,-0.00857,0.0486,-0.00429,0.0329,-0.00571,0.00545
2020-2-25,Las Vegas,0.0271,-0.00571,0.0643,0.0243,-0.00286,0.0042899999999999995,-0.0064
2020-2-25,Seattle,0.0243,-0.0129,0.361,0.0343,-0.0214,-0.00143,0.00281
2020-2-25,Fort Worth,0.02,0.00143,0.0329,0.0286,0.0314,-0.00571,0.0067599999999999995
2020-2-25,San Antonio,0.0186,0.04,-0.00857,-0.0229,0.0229,-0.00286,0.0050100000000000006
2020-2-25,San Jose,-0.0071400000000000005,-0.01,0.174,-0.0286,-0.01,0.00286,-0.000392
2020-2-25,Detroit,0.0557,0.0129,0.297,0.126,0.0143,0.0,0.00502
2020-2-25,Philadelphia,0.0386,0.0042899999999999995,0.366,0.0243,0.03,0.0,0.00263
2020-2-25,Columbus,0.0386,0.00857,0.217,0.0271,0.02,-0.00286,0.006220000000000001
2020-2-25,Austin,0.0257,-0.00286,0.0514,-0.01,0.0371,-0.00143,0.00229
2020-2-25,Charlotte,0.00286,-0.0171,0.0586,0.0243,-0.00143,0.0143,-0.0119
2020-2-25,Indianapolis,0.0471,-0.00286,0.223,0.03,0.0214,-0.00143,0.004529999999999999
2020-2-25,Jacksonville,-0.00286,-0.0229,-0.0371,0.0186,0.0129,0.0042899999999999995,-0.00386
2020-2-25,Memphis,-0.00571,0.0157,0.12,-0.0114,0.0157,0.00286,-0.0036200000000000004
2020-2-25,San Francisco,0.0229,0.0071400000000000005,0.146,0.00143,0.0214,-0.00143,0.0014
2020-2-25,El Paso,0.0229,0.00286,-0.234,0.134,0.0229,-0.0042899999999999995,0.0055899999999999995
2020-2-25,Baltimore,0.0529,0.0042899999999999995,0.156,0.0171,0.0329,-0.00286,0.00563
2020-2-25,Portland,0.0657,0.0129,0.31,0.0471,0.0214,-0.00857,0.0108
2020-2-25,Boston,0.03,-0.00571,0.217,0.00429,-0.00143,0.00571,-0.00312
2020-2-25,Oklahoma City,0.0214,0.00857,-0.00429,-0.00429,0.02,0.0,-0.00162
2020-2-25,Louisville,0.0243,0.0743,0.284,0.0286,0.0157,-0.00286,0.006220000000000001
2020-2-25,Denver,-0.0243,0.00286,-0.13,0.02,0.0229,0.00571,-0.007659999999999999
