date,cityid,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh
2020-1-15,40,0.00962,-0.00248,.,0.0147
2020-1-15,41,-0.00179,-0.00135,-0.00184,-0.00177
2020-1-15,42,-0.000751,-0.00857,-0.0000216,0.00211
2020-1-15,43,-0.00357,-0.00624,-0.00307,-0.00225
2020-1-15,44,-0.00106,-0.00102,-0.00221,0.00124
2020-1-15,45,0.00319,.,.,.
2020-1-15,46,0.00391,.,-0.00259,-0.00129
2020-1-15,47,-0.0138,0.000694,-0.0219,-0.0048
2020-1-15,48,-0.00328,.,.,.
2020-1-15,49,-0.0119,-0.000437,.,.
2020-1-15,50,-0.00744,-0.0184,-0.0081,0.00724
2020-1-15,51,.,.,.,.
2020-1-15,52,0.00169,.,0.00267,0.00467
2020-1-15,53,0.00183,0.00606,0.000544,0.000167
2020-1-16,1,-0.00264,-0.00162,-0.00329,-0.00157
2020-1-16,2,-0.00249,-0.00474,-0.00242,-0.00223
2020-1-16,3,-0.00309,-0.00547,-0.00263,-0.00233
2020-1-16,4,-0.00601,.,-0.00826,-0.00304
2020-1-16,5,-0.00357,-0.00461,-0.00392,-0.0017
2020-1-16,6,-0.00413,-0.00134,-0.00529,-0.00333
2020-1-16,7,-0.00302,-0.00633,-0.00275,-0.000492
2020-1-16,8,-0.00146,.,-0.00284,0.000408
2020-1-16,9,-0.00281,-0.0275,-0.004,0.000964
2020-1-16,10,-0.00293,0.0063,-0.00726,-0.00365
2020-1-16,11,-0.000444,-0.00103,-0.00518,0.0122
2020-1-16,12,-0.00256,-0.00275,-0.00291,-0.00216
2020-1-16,13,-0.00313,.,.,-0.00216
2020-1-16,14,-0.00243,-0.011,.,-0.00391
2020-1-16,15,-0.00319,0.000911,.,-0.00367
2020-1-16,16,-0.0127,-0.00296,.,-0.00648
2020-1-16,17,-0.00301,-0.00208,-0.00404,-0.00196
2020-1-16,18,-0.000939,0.00262,-0.00339,0.000864
2020-1-16,19,0.00679,0.0261,-0.00142,.
2020-1-16,20,-0.00402,-0.00642,-0.00367,.
2020-1-16,21,-0.00522,-0.00546,-0.00162,-0.00873
2020-1-16,22,-0.00844,-0.00526,.,.
2020-1-16,23,.,.,.,.
2020-1-16,24,-0.00275,.,-0.00269,-0.000388
2020-1-16,25,-0.00324,-0.00993,-0.00151,-0.00322
2020-1-16,26,-0.00223,-0.00287,-0.00135,.
2020-1-16,27,-0.00216,.,-0.00157,-0.000473
2020-1-16,28,-0.00459,.,.,-0.00608
2020-1-16,29,-0.00245,0.00269,-0.00377,-0.00194
2020-1-16,30,-0.00306,-0.00237,-0.0026,-0.00454
2020-1-16,31,-0.00204,-0.00409,-0.00103,-0.000968
2020-1-16,32,-0.00443,.,-0.00581,-0.00249
2020-1-16,33,-0.00205,0.00475,-0.00475,-0.00395
2020-1-16,34,-0.000675,0.00955,.,-0.00502
2020-1-16,35,0.00484,-0.000903,0.00886,-0.0000864
2020-1-16,36,-0.00313,-0.00198,-0.00546,-0.000646
2020-1-16,37,0.000502,.,0.0000178,0.00158
2020-1-16,38,-0.00408,0.000109,-0.00518,-0.00609
2020-1-16,39,-0.00237,.,-0.00598,-0.0102
2020-1-16,40,0.00821,-0.00325,.,0.0136
2020-1-16,41,-0.000384,-0.0000249,-0.000414,-0.00039
2020-1-16,42,-0.000058,-0.00642,0.00112,0.0014
2020-1-16,43,-0.00244,-0.00574,-0.00236,0.000227
2020-1-16,44,-0.000977,-0.000314,-0.00142,-0.00126
2020-1-16,45,0.00288,.,.,.
2020-1-16,46,0.00333,.,-0.00171,-0.00234
2020-1-16,47,-0.0108,-0.000696,-0.0166,-0.00343
2020-1-16,48,0.000311,.,.,.
2020-1-16,49,-0.00939,0.00239,.,.
2020-1-16,50,-0.00562,-0.015,-0.00665,0.00805
2020-1-16,51,.,.,.,.
2020-1-16,52,0.00241,.,0.00465,0.00432
2020-1-16,53,0.00182,0.00665,0.00053,-0.00044
2020-1-17,1,-0.00108,-0.00275,-0.00117,-0.000401
2020-1-17,2,-0.00109,-0.00259,-0.0013,-0.000589
2020-1-17,3,-0.00195,-0.00305,-0.00156,-0.00189
2020-1-17,4,-0.0041,.,-0.0052,-0.00225
2020-1-17,5,-0.0032,-0.00551,-0.00292,-0.00152
2020-1-17,6,-0.0025,-0.00466,-0.00206,-0.00217
2020-1-17,7,-0.00217,-0.00475,-0.00106,-0.00157
2020-1-17,8,-0.00056,.,-0.00157,0.000853
2020-1-17,9,-0.000747,-0.0315,-0.000899,0.00193
2020-1-17,10,-0.0012,0.00801,-0.00497,-0.00305
2020-1-17,11,0.0000326,-0.000782,-0.00379,0.011
2020-1-17,12,-0.000785,-0.000301,-0.000637,-0.001
2020-1-17,13,-0.00136,.,.,-0.00097
2020-1-17,14,-0.00174,-0.00701,.,-0.00404
2020-1-17,15,-0.00216,0.0019,.,-0.00329
2020-1-17,16,-0.00987,-0.000845,.,-0.00689
2020-1-17,17,-0.00264,-0.00166,-0.00276,-0.00342
2020-1-17,18,0.000957,0.00206,-0.000269,0.00256
2020-1-17,19,0.00634,0.0261,-0.000422,.
2020-1-17,20,-0.00226,-0.00464,-0.00116,.
2020-1-17,21,-0.00339,-0.00692,-0.000221,-0.00633
2020-1-17,22,-0.00602,-0.00504,.,.
2020-1-17,23,.,.,.,.
2020-1-17,24,-0.00177,.,-0.00103,-0.000663
2020-1-17,25,-0.00222,-0.00775,-0.000661,-0.00234
2020-1-17,26,-0.00104,-0.000159,-0.00079,.
2020-1-17,27,-0.00115,.,-0.000971,0.00177
2020-1-17,28,-0.00368,.,.,-0.00581
2020-1-17,29,-0.00126,0.00277,-0.00183,-0.0013
2020-1-17,30,-0.00217,-0.00132,-0.00144,-0.00434
2020-1-17,31,-0.000951,-0.00299,0.000242,-0.000284
2020-1-17,32,-0.00167,.,-0.00338,-0.00232
2020-1-17,33,-0.000658,0.00458,-0.00164,-0.00538
2020-1-17,34,0.000949,0.00633,.,-0.00441
2020-1-17,35,0.00547,-0.00448,0.0102,0.000922
2020-1-17,36,-0.00237,-0.000151,-0.00445,-0.00089
2020-1-17,37,0.000533,.,0.000335,0.0000445
2020-1-17,38,-0.00238,-0.0000473,-0.00205,-0.00511
2020-1-17,39,-0.000373,.,-0.00274,-0.00892
2020-1-17,40,0.00668,-0.00362,.,0.0121
2020-1-17,41,0.0008,0.00132,0.00082,0.000693
2020-1-17,42,0.000509,-0.00437,0.00209,0.000638
2020-1-17,43,-0.00142,-0.00514,-0.00174,0.00242
2020-1-17,44,-0.000895,0.000288,-0.000808,-0.00321
2020-1-17,45,0.00244,.,.,.
2020-1-17,46,0.00266,.,-0.000878,-0.00316
2020-1-17,47,-0.00762,-0.00166,-0.0115,-0.00203
2020-1-17,48,0.00399,.,.,.
2020-1-17,49,-0.00673,0.00471,.,.
2020-1-17,50,-0.00375,-0.0113,-0.0051,0.0084
2020-1-17,51,.,.,.,.
2020-1-17,52,0.00305,.,0.00616,0.0039
2020-1-17,53,0.00168,0.0069,0.000414,-0.00101
2020-1-18,1,0.00032,-0.00352,0.000727,0.000634
2020-1-18,2,0.000199,-0.000471,-0.000279,0.000939
2020-1-18,3,-0.000887,-0.000819,-0.000569,-0.00143
2020-1-18,4,-0.0022,.,-0.00228,-0.00145
2020-1-18,5,-0.00279,-0.00593,-0.00197,-0.0015
2020-1-18,6,-0.000953,-0.00719,0.000811,-0.00105
2020-1-18,7,-0.00125,-0.00291,0.000455,-0.00243
2020-1-18,8,0.000234,.,-0.000392,0.00118
2020-1-18,9,0.00105,-0.0325,0.00174,0.00266
2020-1-18,10,0.000403,0.00932,-0.00274,-0.00247
2020-1-18,11,0.000463,-0.00035,-0.00243,0.00919
2020-1-18,12,0.000842,0.00198,0.00143,0.0000648
2020-1-18,13,0.000313,.,.,0.000162
2020-1-18,14,-0.00113,-0.00329,.,-0.00406
2020-1-18,15,-0.00117,0.00273,.,-0.00276
2020-1-18,16,-0.00666,0.00143,.,-0.00684
2020-1-18,17,-0.00215,-0.00112,-0.00148,-0.00455
2020-1-18,18,0.0026,0.00156,0.00246,0.00399
2020-1-18,19,0.00553,0.0246,0.000465,.
2020-1-18,20,-0.00054,-0.00272,0.00113,.
2020-1-18,21,-0.00169,-0.00735,0.00089,-0.00396
