date,cityid,initclaims_count_regular,initclaims_rate_regular
2020-2-22,Kansas City,302,0.0831
2020-2-22,Oakland,1118,0.132
2020-2-22,Cleveland,528,0.0859
2020-2-22,Bakersfield,1589,0.406
2020-2-22,Honolulu,672,0.149
2020-2-22,Boise,143,0.0562
2020-2-29,Los Angeles,11237,0.219
2020-2-29,New York City,28996,0.726
2020-2-29,Chicago,3048,0.117
2020-2-29,Phoenix,1003,0.0434
2020-2-29,San Diego,2687,0.169
2020-2-29,Las Vegas,2139,0.189
2020-2-29,Seattle,1400,0.108
2020-2-29,San Jose,1275,0.121
2020-2-29,Philadelphia,1319,0.183
2020-2-29,Columbus,415,0.0595
2020-2-29,Indianapolis,324,0.0657
2020-2-29,San Francisco,858,0.147
2020-2-29,Louisville,401,0.0995
2020-2-29,Washington,452,0.11
2020-2-29,Milwaukee,914,0.196
2020-2-29,Tucson,218,0.0437
2020-2-29,Fresno,2047,0.454
2020-2-29,Sacramento,1619,0.227
2020-2-29,Atlanta,547,0.0982
2020-2-29,Kansas City,286,0.0787
2020-2-29,Oakland,1332,0.158
2020-2-29,Cleveland,608,0.0989
2020-2-29,Bakersfield,1893,0.484
2020-2-29,Honolulu,710,0.158
2020-2-29,Boise,132,0.0519
2020-3-7,Los Angeles,8820,0.172
2020-3-7,New York City,2595,0.0644
2020-3-7,Chicago,3027,0.117
2020-3-7,Phoenix,1090,0.0472
2020-3-7,San Diego,2937,0.185
2020-3-7,Las Vegas,2106,0.186
2020-3-7,Seattle,1837,0.142
2020-3-7,San Jose,1440,0.137
2020-3-7,Philadelphia,667,0.0924
2020-3-7,Columbus,502,0.072
2020-3-7,Indianapolis,298,0.0605
2020-3-7,San Francisco,849,0.146
2020-3-7,Baltimore,378,0.13
2020-3-7,Louisville,111,0.0277
2020-3-7,Denver,273,0.0648
2020-3-7,Washington,471,0.115
2020-3-7,Milwaukee,751,0.161
2020-3-7,Tucson,260,0.0521
2020-3-7,Fresno,646,0.143
2020-3-7,Sacramento,1234,0.173
2020-3-7,Atlanta,369,0.0662
2020-3-7,Kansas City,296,0.0814
2020-3-7,Oakland,1360,0.161
2020-3-7,Cleveland,661,0.108
2020-3-7,Bakersfield,526,0.135
2020-3-7,Honolulu,866,0.192
2020-3-7,Boise,123,0.0484
2020-3-7,Colorado Springs,269,0.0785
2020-3-14,Los Angeles,11711,0.229
2020-3-14,New York City,2639,0.0655
2020-3-14,Chicago,3922,0.151
2020-3-14,Phoenix,1266,0.0548
2020-3-14,San Diego,3900,0.245
2020-3-14,Las Vegas,6070,0.536
2020-3-14,Seattle,5834,0.452
2020-3-14,San Jose,1911,0.181
2020-3-14,Philadelphia,842,0.117
2020-3-14,Columbus,674,0.0966
2020-3-14,Indianapolis,425,0.0862
2020-3-14,San Francisco,1127,0.193
2020-3-14,Baltimore,746,0.257
2020-3-14,Louisville,126,0.0313
2020-3-14,Denver,611,0.145
2020-3-14,Washington,1213,0.296
2020-3-14,Milwaukee,836,0.179
2020-3-14,Tucson,259,0.0519
2020-3-14,Fresno,858,0.19
2020-3-14,Sacramento,1638,0.23
2020-3-14,Atlanta,440,0.0789
2020-3-14,Kansas City,456,0.125
2020-3-14,Oakland,1806,0.214
2020-3-14,Cleveland,919,0.15
2020-3-14,Bakersfield,698,0.179
2020-3-14,Honolulu,1108,0.246
2020-3-14,Boise,174,0.0684
2020-3-14,Colorado Springs,328,0.0957
2020-3-21,Los Angeles,37882,0.74
2020-3-21,New York City,14792,0.367
2020-3-21,Chicago,43959,1.69
2020-3-21,Phoenix,13342,0.577
2020-3-21,San Diego,12614,0.793
2020-3-21,Las Vegas,78983,6.98
2020-3-21,Seattle,37296,2.89
2020-3-21,San Jose,6183,0.587
2020-3-21,Philadelphia,19803,2.74
2020-3-21,Columbus,23527,3.37
2020-3-21,Indianapolis,10173,2.06
2020-3-21,San Francisco,3646,0.625
2020-3-21,Baltimore,5392,1.85
2020-3-21,Louisville,2217,0.551
2020-3-21,Denver,4841,1.15
2020-3-21,Washington,14462,3.53
2020-3-21,Milwaukee,9665,2.07
2020-3-21,Tucson,2966,0.595
2020-3-21,Fresno,2774,0.615
2020-3-21,Sacramento,5299,0.744
2020-3-21,Atlanta,980,0.176
2020-3-21,Kansas City,6111,1.68
2020-3-21,Omaha,6628,2.21
2020-3-21,Oakland,5840,0.692
2020-3-21,Cleveland,24883,4.05
2020-3-21,Bakersfield,2259,0.578
2020-3-21,Honolulu,4837,1.07
2020-3-21,Boise,4095,1.61
2020-3-21,Colorado Springs,2869,0.837
2020-3-28,Los Angeles,215160,4.2
2020-3-28,New York City,67784,1.68
2020-3-28,Chicago,64378,2.48
2020-3-28,Phoenix,37486,1.62
2020-3-28,San Diego,71645,4.5
2020-3-28,Las Vegas,58935,5.21
2020-3-28,Seattle,44613,3.46
2020-3-28,San Jose,35115,3.33
2020-3-28,Philadelphia,13037,1.81
2020-3-28,Columbus,23295,3.34
2020-3-28,Indianapolis,13546,2.75
2020-3-28,San Francisco,20707,3.55
2020-3-28,Baltimore,8685,2.99
2020-3-28,Louisville,5116,1.27
2020-3-28,Denver,12576,2.98
2020-3-28,Washington,15869,3.87
2020-3-28,Milwaukee,16417,3.52
2020-3-28,Tucson,7262,1.46
2020-3-28,Fresno,15754,3.5
2020-3-28,Sacramento,30095,4.22
2020-3-28,Atlanta,10806,1.94
2020-3-28,Kansas City,10139,2.79
2020-3-28,Omaha,7980,2.66
2020-3-28,Oakland,33172,3.93
2020-3-28,Cleveland,25773,4.19
2020-3-28,Bakersfield,12832,3.28
2020-3-28,Honolulu,27020,6
2020-3-28,Boise,6918,2.72
2020-3-28,Colorado Springs,9801,2.86
2020-4-4,Los Angeles,186797,3.65
2020-4-4,New York City,147658,3.66
2020-4-4,Chicago,70130,2.7
2020-4-4,Phoenix,48037,2.08
2020-4-4,San Diego,62201,3.91
2020-4-4,Las Vegas,64889,5.73
2020-4-4,Seattle,47233,3.66
2020-4-4,San Jose,30486,2.89
2020-4-4,Philadelphia,18536,2.57
2020-4-4,Columbus,23327,3.34
2020-4-4,Indianapolis,13603,2.76
2020-4-4,San Francisco,17977,3.08
2020-4-4,Baltimore,10691,3.68
2020-4-4,Louisville,5317,1.32
2020-4-4,Denver,11606,2.75
2020-4-4,Washington,15329,3.74
2020-4-4,Milwaukee,15288,3.27
2020-4-4,Tucson,10203,2.05
2020-4-4,Fresno,13678,3.03
2020-4-4,Sacramento,26128,3.67
2020-4-4,Atlanta,31502,5.66
2020-4-4,Kansas City,9053,2.49
2020-4-4,Omaha,8795,2.94
2020-4-4,Oakland,28799,3.41
2020-4-4,Cleveland,22968,3.74
2020-4-4,Bakersfield,11141,2.85
2020-4-4,Honolulu,30958,6.87
2020-4-4,Boise,5059,1.99
2020-4-4,Colorado Springs,8444,2.46
2020-4-11,Los Angeles,246235,4.81
2020-4-11,New York City,184525,4.57
2020-4-11,Chicago,73839,2.85
2020-4-11,Phoenix,32365,1.4
2020-4-11,San Diego,73319,4.61
2020-4-11,Las Vegas,47949,4.24
2020-4-11,Seattle,39796,3.08
2020-4-11,San Jose,36111,3.43
2020-4-11,Philadelphia,13615,1.89
2020-4-11,Columbus,17688,2.54
2020-4-11,Indianapolis,15285,3.1
2020-4-11,San Francisco,20660,3.54
2020-4-11,Baltimore,6150,2.12
2020-4-11,Louisville,5755,1.43
2020-4-11,Denver,8229,1.95
2020-4-11,Washington,9974,2.43
2020-4-11,Milwaukee,10451,2.24
2020-4-11,Tucson,6800,1.36
2020-4-11,Fresno,16260,3.61
2020-4-11,Sacramento,30627,4.3
2020-4-11,Atlanta,53931,9.68
2020-4-11,Kansas City,10604,2.92
2020-4-11,Omaha,5101,1.7
2020-4-11,Oakland,35902,4.25
2020-4-11,Cleveland,15154,2.47
2020-4-11,Bakersfield,14631,3.74
2020-4-11,Honolulu,21548,4.78
2020-4-11,Boise,2740,1.08
2020-4-11,Colorado Springs,5737,1.67
2020-4-18,Los Angeles,198484,3.88
2020-4-18,New York City,103165,2.57
2020-4-18,Chicago,62410,2.41
2020-4-18,Phoenix,23169,1
2020-4-18,San Diego,59101,3.72
2020-4-18,Las Vegas,31495,2.78
2020-4-18,Seattle,24461,1.9
2020-4-18,San Jose,29108,2.76
2020-4-18,Philadelphia,8188,1.13
2020-4-18,Columbus,12284,1.76
2020-4-18,Indianapolis,10510,2.13
2020-4-18,San Francisco,16654,2.86
2020-4-18,Baltimore,4894,1.68
2020-4-18,Louisville,5147,1.28
2020-4-18,Denver,5771,1.37
2020-4-18,Washington,8639,2.11
2020-4-18,Milwaukee,9093,1.95
2020-4-18,Tucson,4871,0.977
2020-4-18,Fresno,13107,2.91
2020-4-18,Sacramento,24688,3.47
2020-4-18,Atlanta,41683,7.48
2020-4-18,Kansas City,5926,1.63
2020-4-18,Omaha,3342,1.12
2020-4-18,Oakland,28940,3.43
2020-4-18,Cleveland,10728,1.75
2020-4-18,Bakersfield,11794,3.02
2020-4-18,Honolulu,16790,3.73
2020-4-18,Boise,1870,0.736
2020-4-18,Colorado Springs,4034,1.18
2020-4-25,Los Angeles,122218,2.39
2020-4-25,New York City,109028,2.71
2020-4-25,Chicago,53141,2.05
2020-4-25,Phoenix,15962,0.691
2020-4-25,San Diego,36392,2.29
2020-4-25,Las Vegas,35896,3.17
2020-4-25,Seattle,40088,3.11
2020-4-25,San Jose,17924,1.7
2020-4-25,Philadelphia,5524,0.765
2020-4-25,Columbus,10389,1.49
2020-4-25,Indianapolis,8493,1.72
2020-4-25,San Francisco,10255,1.76
2020-4-25,Baltimore,3778,1.3
2020-4-25,Louisville,4515,1.12
2020-4-25,Denver,5521,1.31
2020-4-25,Washington,8708,2.12
2020-4-25,Milwaukee,8919,1.91
2020-4-25,Tucson,3447,0.691
2020-4-25,Fresno,8071,1.79
2020-4-25,Sacramento,15202,2.13
2020-4-25,Atlanta,44984,8.08
2020-4-25,Kansas City,5800,1.6
2020-4-25,Omaha,2535,0.846
2020-4-25,Oakland,17820,2.11
2020-4-25,Cleveland,9887,1.61
2020-4-25,Bakersfield,7262,1.86
2020-4-25,Honolulu,14327,3.18
2020-4-25,Boise,1187,0.467
2020-4-25,Colorado Springs,3436,1
2020-5-2,Los Angeles,118805,2.32
2020-5-2,New York City,97794,2.43
2020-5-2,Chicago,39061,1.51
2020-5-2,Phoenix,13115,0.568
2020-5-2,San Diego,35376,2.22
2020-5-2,Las Vegas,24710,2.18
2020-5-2,Seattle,31550,2.44
2020-5-2,San Jose,17423,1.65
2020-5-2,Philadelphia,4788,0.663
2020-5-2,Columbus,6759,0.969
2020-5-2,Indianapolis,7596,1.54
2020-5-2,San Francisco,9968,1.71
2020-5-2,Baltimore,9447,3.25
2020-5-2,Louisville,4080,1.01
2020-5-2,Denver,4328,1.03
2020-5-2,Washington,8113,1.98
2020-5-2,Milwaukee,6745,1.44
2020-5-2,Tucson,2553,0.512
2020-5-2,Fresno,7845,1.74
2020-5-2,Sacramento,14777,2.07
2020-5-2,Atlanta,38536,6.92
2020-5-2,Kansas City,5440,1.5
2020-5-2,Omaha,1846,0.616
2020-5-2,Oakland,17322,2.05
2020-5-2,Cleveland,6912,1.12
2020-5-2,Bakersfield,7059,1.81
2020-5-2,Honolulu,9559,2.12
2020-5-2,Boise,1159,0.456
