date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-10,1,-0.00318,-0.0032500001,-0.0023000001,-0.0091700004,0.00049499999
2020-1-10,2,0.0000186,0.0036500001,-0.0124,-0.0121,0.00232
2020-1-10,3,-0.024499999,-0.022299999,-0.055599999,-0.040600002,-0.019200001
2020-1-10,4,0.00348,0.0173,0.015799999,0.0126,0.0060299998
2020-1-10,5,0.0073299999,0.023499999,-0.0083299996,0.0081799999,0.0105
2020-1-10,6,-0.000394,0.0060299998,-0.0025800001,0.0137,-0.0119
2020-1-10,7,0.0038999999,-0.00385,0.0098000001,0.0044900002,0.0134
2020-1-10,8,0.00229,0.00685,-0.0129,-0.0080899997,-0.0062699998
2020-1-10,9,0.022,0.0152,0.036200002,0.029200001,0.0138
2020-1-10,10,0.0122,0.0188,0.0392,-0.00345,0.02
2020-1-10,11,0.0080000004,0.00287,0.0037199999,0.013,0.0117
2020-1-10,12,-0.00044500001,0.0136,-0.031599998,0.019200001,-0.00162
2020-1-10,13,0.0061499998,0.0085300002,-0.053300001,0.0021200001,-0.00104
2020-1-10,14,-0.0055399998,-0.0080899997,0.058899999,0.00166,-0.0147
2020-1-10,15,-0.0178,-0.019400001,-0.019400001,-0.0149,-0.0029500001
2020-1-10,16,-0.000076900003,-0.0114,0.038199998,-0.0136,0.0073099998
2020-1-10,17,0.0061699999,0.00575,-0.0125,0.0155,-0.0060700001
2020-1-10,18,-0.0284,-0.0151,-0.0070799999,-0.076200001,-0.0189
2020-1-10,19,0.0026,0.0048099998,-0.0035399999,-0.00404,-0.0184
2020-1-10,20,0.0145,0.0087799998,0.0206,0.0089699998,0.0026100001
2020-1-10,21,0.0152,0.0125,0.020099999,0.028100001,0.0082799997
2020-1-10,22,-0.0041999999,-0.0129,-0.0189,0.025,-0.00391
2020-1-10,23,-0.0142,-0.016799999,-0.00050099997,0.000055,-0.018100001
2020-1-10,24,0.015900001,0.0126,0.030099999,0.0178,0.038699999
