date,cityid,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020-2-25,17,0.00286,-0.0171,0.0586,0.0243,-0.00143,0.0143,-0.0119
2020-2-25,18,0.0471,-0.00286,0.223,0.03,0.0214,-0.00143,0.00453
2020-2-25,19,-0.00286,-0.0229,-0.0371,0.0186,0.0129,0.00429,-0.00386
2020-2-25,20,-0.00571,0.0157,0.12,-0.0114,0.0157,0.00286,-0.00362
2020-2-25,21,0.0229,0.00714,0.146,0.00143,0.0214,-0.00143,0.0014
2020-2-25,22,0.0229,0.00286,-0.234,0.134,0.0229,-0.00429,0.00559
2020-2-25,23,0.0529,0.00429,0.156,0.0171,0.0329,-0.00286,0.00563
2020-2-25,24,0.0657,0.0129,0.31,0.0471,0.0214,-0.00857,0.0108
2020-2-25,25,0.03,-0.00571,0.217,0.00429,-0.00143,0.00571,-0.00312
2020-2-25,26,0.0214,0.00857,-0.00429,-0.00429,0.02,0,-0.00162
2020-2-25,27,0.0243,0.0743,0.284,0.0286,0.0157,-0.00286,0.00622
2020-2-25,28,-0.0243,0.00286,-0.13,0.02,0.0229,0.00571,-0.00766
2020-2-25,29,0,-0.0386,0.134,0.0171,-0.00429,0.00571,-0.00352
2020-2-25,30,0.0386,-0.00857,0.136,0.0614,0.0243,0,0.00296
2020-2-25,31,0.0543,0.02,0.137,0.0229,0.0343,-0.00286,0.00804
2020-2-25,32,0.0343,0.0443,-0.0286,0.00429,0.0171,0,-0.00234
2020-2-25,33,0.0129,0.0414,0.06,0.00571,-0.0429,0.00714,-0.00753
2020-2-25,34,0.0557,0.0129,0.204,0.02,0.0129,-0.00286,0.00429
2020-2-25,35,0.0314,0.00857,0.29,0.0214,0.01,-0.00429,0.00681
2020-2-25,36,0.01,-0.0271,0.0671,0.0143,0.00571,0.00429,-0.00269
2020-2-25,37,0.0543,0.01,0.113,0.0357,0.0586,-0.01,0.0136
2020-2-25,38,0.00857,0.00143,0.0357,-0.00571,0.02,0,-3.16E-08
2020-2-25,39,-0.03,-0.0429,0.0286,0.0186,-0.0371,0.03,-0.0292
2020-2-25,40,0.0643,0.0643,0.3,0.0371,0.0286,-0.00857,0.0137
2020-2-25,41,0.01,0.0157,0.163,0.0286,0.0243,-0.00429,0.00681
2020-2-25,42,0.0343,0.0157,0.0757,0.0757,0.0214,-0.00714,0.0114
2020-2-25,43,0.0229,0.00857,0.07,0.0457,0.02,-0.00143,0.00322
2020-2-25,44,0.461,0.433,0.591,1.15,-0.144,0.00286,0.00739
2020-2-25,45,0.04,-0.00286,-0.04,0.00143,0.02,0.00143,-0.00169
2020-2-25,46,0.0343,-0.0114,0.304,0.0571,0.0257,-0.00429,0.00832
2020-2-25,47,0.0471,0.00429,0.246,0.04,0.0114,0,0.000402
2020-2-25,48,0.01,-0.00286,0.0729,0.0114,0.0129,0.00143,-0.000234
2020-2-25,49,0.0557,0.06,0.376,0.0486,0.0243,-0.00857,0.0113
2020-2-25,50,0.0643,0.0857,0.19,0.04,0.0329,-0.00571,0.00738
2020-2-25,51,0,-0.01,0.0486,-0.0129,0.00571,0.0143,-0.0125
2020-2-25,52,-0.00571,-0.0143,-0.21,-0.01,0.0129,0.00714,-0.012
2020-2-25,53,0.02,0.00571,-0.00143,0.0471,0.0186,0.00143,-0.00219
2020-2-26,1,0.0157,0.00286,0.0714,0.00571,0.0243,-0.00429,0.00362
2020-2-26,2,0.0174,-0.0207,0.12,-0.00765,0.000408,0.0053,-0.00255
2020-2-26,3,0.0343,0.0243,0.263,0.0214,0.0214,-0.00571,0.0117
2020-2-26,4,0.04,-0.00143,0.0243,0,0.0243,-0.00143,0.00253
2020-2-26,5,0.0471,-2.66E-10,0.0371,0.0543,0.0129,0.00143,-0.00301
2020-2-26,6,0.0143,-0.0143,0.0414,-7.98E-10,0.0243,-0.00143,-0.000322
2020-2-26,7,0.04,0.00429,0.0771,0.00429,0.0329,-0.00857,0.00865
2020-2-26,8,0.0386,0,0.0629,0.02,-0.00143,0.00286,-0.0048
2020-2-26,9,0.0286,-0.0129,0.337,0.0329,-0.01,-0.00286,0.00441
2020-2-26,10,0.0371,0.0129,0.0629,0.03,0.0329,-0.01,0.0116
2020-2-26,11,0.0371,0.0486,0.0214,-0.0157,0.0229,-0.00714,0.00981
2020-2-26,12,-0.00143,-0.00143,0.179,-0.0257,0.00429,0,0.00281
2020-2-26,13,0.0414,-0.00286,0.264,0.123,-0.00714,0.00714,-0.00298
2020-2-26,14,0.0514,0.0129,0.359,0.03,0.03,-0.00143,0.00423
2020-2-26,15,0.0443,0.0143,0.19,0.0271,0.02,-0.00286,0.00622
2020-2-26,16,0.0357,0.00286,0.0843,-0.00571,0.04,-0.00571,0.00708
2020-2-26,17,0.0157,-0.0186,0.0814,0.0314,0,0.0114,-0.00867
2020-2-26,18,0.0457,-0.00143,0.206,0.0257,0.0186,0,0.00293
2020-2-26,19,0.00286,-0.0186,-0.0857,0.0157,0.0114,0.00571,-0.00546
2020-2-26,20,0.01,0.0229,0.1,-0.00714,0.0157,0.00143,-0.00202
2020-2-26,21,0.0314,0.0143,0.156,0.00429,0.0214,-0.00143,0.0014
2020-2-26,22,0.04,0.01,-0.233,0.144,0.0243,-0.00714,0.00879
2020-2-26,23,0.0571,0.00571,0.15,0.0171,0.0343,-0.00286,0.00563
2020-2-26,24,0.0686,0.0186,0.306,0.0443,0.0229,-0.00857,0.0108
2020-2-26,25,0.0329,-0.00286,0.226,0.0171,0.0114,0.00286,0.0000806
2020-2-26,26,0.0343,0.0143,-0.0257,0,0.02,0,-0.00162
2020-2-26,27,0.0286,0.0929,0.234,0.0286,0.0157,-0.00286,0.00622
2020-2-26,28,-0.00714,0.02,-0.0829,0.02,0.0257,0.00143,-0.00286
2020-2-26,29,0.00714,-0.0386,0.114,0.03,0.00429,0.00429,-0.00192
2020-2-26,30,0.0386,-0.00571,0.106,0.06,0.0229,0.00143,0.00136
2020-2-26,31,0.0643,0.0229,0.144,0.0229,0.0343,-0.00286,0.00804
2020-2-26,32,0.0486,0.0457,-0.0243,0.00857,0.0186,-0.00143,-0.000736
2020-2-26,33,0.02,0.0443,0.0471,0.00286,-0.0414,0.00714,-0.00753
2020-2-26,34,0.0686,0.02,0.213,0.02,0.0143,-0.00429,0.00589
2020-2-26,35,0.0386,0.0114,0.299,0.0257,0.0143,-0.00571,0.00841
2020-2-26,36,0.0171,-0.0257,0.0614,0.0157,0.00714,0.00286,-0.00109
2020-2-26,37,0.0686,0.0171,0.114,0.0471,0.0586,-0.01,0.0136
2020-2-26,38,0.01,-0.00143,0.00714,-0.00714,0.02,0,-3.16E-08
2020-2-26,39,-0.0286,-0.0471,0.0786,0.0229,-0.0357,0.0271,-0.026
2020-2-26,40,0.0814,0.0771,0.326,0.0457,0.0286,-0.0114,0.0169
2020-2-26,41,0.0143,0.0186,0.171,0.0314,0.0271,-0.00571,0.00841
2020-2-26,42,0.0429,0.0186,0.106,0.0786,0.0214,-0.00857,0.013
2020-2-26,43,0.0271,0.00857,0.0286,0.0429,0.02,0,0.00162
2020-2-26,44,0.473,0.443,0.589,1.08,-0.176,0.0129,-0.0038
2020-2-26,45,0.05,0.00286,-0.0357,0.00571,0.02,0,-0.0000883
2020-2-26,46,0.0414,-0.00571,0.287,0.0586,0.0257,-0.00571,0.00992
2020-2-26,47,0.0614,0.0114,0.249,0.0386,0.0114,-0.00143,0.002
2020-2-26,48,0.0143,0.00571,0.0871,0.00714,0.0143,0,0.00137
2020-2-26,49,0.0629,0.0671,0.409,0.0457,0.0243,-0.01,0.0129
2020-2-26,50,0.0786,0.0929,0.206,0.0471,0.0329,-0.00714,0.00898
2020-2-26,51,0.01,-0.00571,0.0614,-0.00571,0.00714,0.0129,-0.0109
2020-2-26,52,0.0114,-0.00143,-0.173,-0.00429,0.0171,0.00286,-0.00724
2020-2-26,53,0.03,0.00857,-0.0257,0.0529,0.0186,0.00143,-0.00219
2020-2-27,1,0.0186,0.00571,0.0757,0.00714,0.0243,-0.00429,0.00362
2020-2-27,2,0.0198,-0.0155,0.117,-0.00148,0.0167,0.00234,0.000434
2020-2-27,3,0.04,0.0286,0.266,0.0229,0.0214,-0.00571,0.0117
2020-2-27,4,0.0557,0.01,0.0829,0.0143,0.0271,-0.00714,0.00828
2020-2-27,5,0.0529,0.00143,0.0371,0.0571,0.0129,0,-0.00157
2020-2-27,6,0.0171,-0.0129,0.0429,0.00286,0.0286,-0.00286,0.00111
2020-2-27,7,0.0529,0.0114,0.119,0.0157,0.0329,-0.0114,0.0115
2020-2-27,8,0.0443,0.00429,0.0657,0.0214,-0.00143,0.00143,-0.00337
2020-2-27,9,0.0357,-0.0129,0.343,0.04,0.00143,-0.00429,0.00585
2020-2-27,10,0.0486,0.0214,0.113,0.0386,0.0343,-0.0129,0.0144
2020-2-27,11,0.0557,0.0614,0.0814,-0.00429,0.0243,-0.0129,0.0156
2020-2-27,12,0.00429,0.00857,0.187,-0.0214,0.0186,-0.00286,0.00568
2020-2-27,13,0.0414,-0.00714,0.244,0.124,-0.0214,0.0129,-0.00873
2020-2-27,14,0.06,0.0171,0.346,0.0314,0.0286,-0.00143,0.00423
2020-2-27,15,0.0443,0.02,0.174,0.0257,0.0129,0,0.00335
2020-2-27,16,0.0486,0.0129,0.147,0.00429,0.0443,-0.0114,0.0128
2020-2-27,17,0.0471,-0.0114,0.146,0.0629,0.00857,-0.00143,0.00426
2020-2-27,18,0.0557,0.00286,0.201,0.0243,0.0186,0,0.00293
2020-2-27,19,0.0186,-0.00571,-0.0586,0.0243,0.0129,0.00286,-0.00259
2020-2-27,20,0.0371,0.0357,0.141,0.0114,0.02,-0.00286,0.00229
2020-2-27,21,0.0343,0.02,0.161,0.00857,0.0229,-0.00286,0.00283
2020-2-27,22,0.0571,0.0186,-0.214,0.154,0.0257,-0.01,0.0117
2020-2-27,23,0.06,0.00571,0.166,0.0143,0.0343,-0.00429,0.00706
2020-2-27,24,0.0771,0.0214,0.341,0.0486,0.0229,-0.00857,0.0108
2020-2-27,25,0.0429,0.00143,0.236,0.03,0.0214,0,0.00295
2020-2-27,26,0.0557,0.0271,0.0443,0.0143,0.0229,-0.00286,0.00126
2020-2-27,27,0.04,0.116,0.234,0.0357,0.0157,-0.00429,0.00766
2020-2-27,28,-0.00286,0.0314,-0.0443,0.02,0.0286,-0.00143,0.0000131
2020-2-27,29,0.0129,-0.0386,0.0929,0.04,0.0114,0.00143,0.000952
2020-2-27,30,0.0571,0.00857,0.146,0.0671,0.0243,-0.00286,0.00567
2020-2-27,31,0.0757,0.0271,0.166,0.0314,0.0343,-0.00429,0.00948
2020-2-27,32,0.06,0.0529,-0.00286,0.02,0.0186,-0.00286,0.000701
2020-2-27,33,0.0229,0.05,0.0214,0.00143,-0.0171,0.00286,-0.00322
2020-2-27,34,0.0757,0.0214,0.22,0.0257,0.0157,-0.00571,0.00733
2020-2-27,35,0.0443,0.0157,0.3,0.0286,0.0171,-0.00714,0.00984
2020-2-27,36,0.0371,-0.0129,0.107,0.0286,0.0114,-0.00286,0.00466
2020-2-27,37,0.0771,0.0214,0.131,0.0514,0.06,-0.0114,0.015
2020-2-27,38,0.0171,0.00571,-0.00286,-0.01,0.02,0,-3.16E-08
2020-2-27,39,-0.00286,-0.0471,0.156,0.03,-0.0214,0.0129,-0.0116
2020-2-27,40,0.0857,0.0843,0.339,0.0557,0.0286,-0.0114,0.0169
2020-2-27,41,0.0186,0.0229,0.186,0.0343,0.03,-0.00714,0.00984
2020-2-27,42,0.05,0.02,0.134,0.0843,0.0214,-0.00857,0.013
2020-2-27,43,0.0386,0.0143,0.0186,0.0457,0.0214,-0.00143,0.00305
2020-2-27,44,0.481,0.457,0.651,1.1,-0.186,0.0129,-0.0038
2020-2-27,45,0.0729,0.0143,0.01,0.0229,0.0243,-0.00429,0.00422
2020-2-27,46,0.0343,-0.01,0.276,0.0614,0.0214,-0.00286,0.00704
2020-2-27,47,0.0714,0.0171,0.249,0.0386,0.0129,-0.00286,0.00344
2020-2-27,48,0.0171,0.0129,0.0829,0.00286,0.0143,-0.00143,0.0028
2020-2-27,49,0.0714,0.0757,0.479,0.0486,0.0271,-0.0114,0.0144
2020-2-27,50,0.0886,0.1,0.23,0.05,0.0329,-0.00857,0.0104
2020-2-27,51,0.0286,-0.0129,0.0857,2.66E-10,0.01,0.00714,-0.00512
2020-2-27,52,0.0171,0.01,-0.134,-0.00714,0.0229,0.00143,-0.0058
2020-2-27,53,0.0471,0.0157,0.01,0.07,0.02,-0.00143,0.000686
2020-2-28,1,0.0229,0.0114,0.08,0.01,0.0257,-0.00571,0.005
2020-2-28,2,0.0266,-0.00444,0.119,0.00882,0.0341,-0.00282,0.00543
2020-2-28,3,0.0471,0.0329,0.267,0.0257,0.0186,-0.00714,0.0131
2020-2-28,4,0.0657,0.0214,0.109,0.0171,0.0129,-0.00571,0.0069
2020-2-28,5,0.0586,0.00429,0.0429,0.0629,0.0143,-0.00143,-0.000187
2020-2-28,6,0.02,-0.00857,0.0471,0.00571,0.0329,-0.00429,0.0025
2020-2-28,7,0.0643,0.0229,0.161,0.0229,0.0329,-0.0143,0.0143
2020-2-28,8,0.05,0.00714,0.0671,0.0214,-0.00143,0,-0.00198
2020-2-28,9,0.0386,-0.00571,0.3,0.0443,0.0129,-0.00571,0.00723
2020-2-28,10,0.0586,0.03,0.164,0.0429,0.0357,-0.0157,0.0172
2020-2-28,11,0.0657,0.0714,0.09,0.00429,0.0243,-0.0157,0.0183
2020-2-28,12,0.0114,0.0243,0.199,-0.0171,0.0343,-0.00571,0.00845
2020-2-28,13,0.05,0,0.241,0.137,-0.0171,0.01,-0.00596
2020-2-28,14,0.0714,0.0243,0.354,0.0357,0.0271,-0.00286,0.00562
2020-2-28,15,0.0471,0.0243,0.159,0.0271,0.01,0,0.00335
2020-2-28,16,0.0557,0.0229,0.16,0.00714,0.0443,-0.0129,0.0142
2020-2-28,17,0.0657,0.00571,0.203,0.0843,0.0271,-0.0114,0.0139
2020-2-28,18,0.0586,0.00571,0.19,0.0271,0.0171,0,0.00293
2020-2-28,19,0.0314,0.00714,-0.0129,0.0386,0.0157,-0.00286,0.00294
2020-2-28,20,0.0586,0.0471,0.164,0.0214,0.0214,-0.00714,0.00644
2020-2-28,21,0.0329,0.0257,0.15,0.00571,0.0214,-0.00286,0.00283
2020-2-28,22,0.0714,0.03,-0.203,0.169,0.0286,-0.0129,0.0144
2020-2-28,23,0.0714,0.0157,0.194,0.02,0.0343,-0.00714,0.00983
2020-2-28,24,0.0771,0.0271,0.33,0.0471,0.0214,-0.00857,0.0108
2020-2-28,25,0.0571,0.0157,0.253,0.0471,0.0329,-0.00429,0.0071
2020-2-28,26,0.0743,0.0443,0.104,0.03,0.0243,-0.00571,0.00402
2020-2-28,27,0.0457,0.12,0.236,0.0429,0.0157,-0.00571,0.00904
2020-2-28,28,-0.00143,0.0443,-0.00429,0.02,0.03,-0.00286,0.0014
2020-2-28,29,0.0214,-0.0271,0.0757,0.0486,0.02,-0.00286,0.0051
2020-2-28,30,0.0743,0.0143,0.16,0.07,0.0243,-0.00429,0.00705
2020-2-28,31,0.0871,0.0314,0.176,0.04,0.0329,-0.00571,0.0109
2020-2-28,32,0.0714,0.0614,0.0186,0.0343,0.02,-0.00571,0.00347
2020-2-28,33,0.0329,0.0671,0.0357,0.00857,0.00714,-0.00286,0.00232
2020-2-28,34,0.0843,0.0314,0.223,0.0386,0.0157,-0.00714,0.00871
2020-2-28,35,0.05,0.0229,0.299,0.03,0.02,-0.00857,0.0112
2020-2-28,36,0.0457,-0.00857,0.12,0.0343,0.0129,-0.00571,0.00743
2020-2-28,37,0.0886,0.0286,0.163,0.0657,0.0586,-0.0129,0.0164
2020-2-28,38,0.0229,0.0129,-0.00857,-0.01,0.02,-0.00143,0.00138
2020-2-28,39,0.0314,-0.0114,0.237,0.0529,0.03,-0.01,0.0105
2020-2-28,40,0.0857,0.0914,0.354,0.0643,0.0286,-0.0129,0.0183
2020-2-28,41,0.0214,0.0286,0.186,0.0357,0.0314,-0.00714,0.00984
2020-2-28,42,0.0514,0.0214,0.137,0.0843,0.0214,-0.00857,0.013
2020-2-28,43,0.0486,0.0229,0.05,0.0529,0.0214,-0.00429,0.00582
2020-2-28,44,0.457,0.43,0.639,0.991,-0.19,0.0157,-0.00657
2020-2-28,45,0.0914,0.0243,0.0957,0.0386,0.0243,-0.00714,0.00699
2020-2-28,46,0.0343,-0.00429,0.257,0.0571,0.0186,-0.00143,0.00566
2020-2-28,47,0.0843,0.0271,0.239,0.0429,0.0157,-0.00571,0.00621
2020-2-28,48,0.0171,0.0186,0.07,-0.00143,0.0129,-0.00143,0.0028
2020-2-28,49,0.0771,0.0829,0.546,0.0514,0.02,-0.0114,0.0144
2020-2-28,50,0.0943,0.109,0.276,0.0571,0.03,-0.00857,0.0104
2020-2-28,51,0.05,0.0114,0.131,0.0229,0.0271,-0.00571,0.00733
2020-2-28,52,0.0257,0.0171,-0.0943,2.66E-10,0.0229,0,-0.00442
2020-2-28,53,0.06,0.0271,0.0714,0.0857,0.0186,-0.00571,0.00484
2020-2-29,1,0.0286,0.0186,0.114,0.0171,0.0271,-0.00857,0.01
2020-2-29,2,0.0242,-0.00262,0.0684,0.00496,0.0352,-0.00216,0.00426
2020-2-29,3,0.0514,0.0343,0.217,0.0243,0.0171,-0.00714,0.0131
2020-2-29,4,0.0743,0.0286,0.13,0.0286,0.0114,-0.00857,0.0119
2020-2-29,5,0.0671,0.0157,0.137,0.0829,0.0243,-0.00857,0.0123
2020-2-29,6,0.0286,0.00143,0.111,0.0171,0.0371,-0.00857,0.01
2020-2-29,7,0.0757,0.0343,0.211,0.0329,0.0343,-0.0171,0.0193
2020-2-29,8,0.0614,0.02,0.103,0.0314,0.00143,-0.00429,0.00553
2020-2-29,9,0.04,0.01,0.299,0.0371,0.0157,-0.00571,0.00723
2020-2-29,10,0.07,0.04,0.219,0.0471,0.0357,-0.0186,0.0222
2020-2-29,11,0.0743,0.08,0.09,0.01,0.0257,-0.0171,0.0208
2020-2-29,12,0.0171,0.0386,0.193,-0.0129,0.0357,-0.00429,0.00594
2020-2-29,13,0.0457,0.00286,0.17,0.167,-0.0186,0.01,-0.00596
2020-2-29,14,0.0686,0.0257,0.299,0.0343,0.0243,-0.00286,0.00562
2020-2-29,15,0.05,0.0243,0.0571,0.0229,0.00714,0,0.00335
2020-2-29,16,0.06,0.03,0.173,0.00714,0.0429,-0.0157,0.0192
2020-2-29,17,0.0829,0.0186,0.174,0.109,0.0257,-0.0143,0.019
2020-2-29,18,0.0643,0.00714,0.116,0.0257,0.0171,-0.00143,0.00544
2020-2-29,19,0.0486,0.0157,0.0143,0.0486,0.0186,-0.00571,0.00795
2020-2-29,20,0.0814,0.06,0.201,0.0386,0.0229,-0.0114,0.0139
2020-2-29,21,0.0257,0.03,0.134,-0.00571,0.02,-0.00143,0.000327
2020-2-29,22,0.08,0.0357,-0.207,0.161,0.0286,-0.0143,0.0169
2020-2-29,23,0.0729,0.0143,0.147,0.0114,0.0314,-0.00857,0.0123
2020-2-29,24,0.0771,0.0329,0.243,0.0429,0.0214,-0.00714,0.00832
2020-2-29,25,0.0671,0.0171,0.289,0.06,0.03,-0.00429,0.0071
2020-2-29,26,0.0914,0.0586,0.17,0.0443,0.0257,-0.01,0.0115
2020-2-29,27,0.0514,0.124,0.189,0.04,0.0157,-0.00714,0.0115
2020-2-29,28,-2.66E-10,0.0557,-0.00429,0.0129,0.0286,-0.00286,0.0014
2020-2-29,29,0.0129,-0.0357,0.0271,0.0343,0.0186,-0.00286,0.0051
2020-2-29,30,0.0943,0.0186,0.189,0.0843,0.0243,-0.00714,0.0121
2020-2-29,31,0.09,0.0329,0.161,0.0429,0.0329,-0.00571,0.0109
2020-2-29,32,0.0886,0.0757,0.0943,0.0529,0.0257,-0.0114,0.0135
2020-2-29,33,0.0443,0.0929,0.12,0.02,0.0143,-0.00714,0.00983
2020-2-29,34,0.0943,0.0371,0.254,0.05,0.0171,-0.01,0.0137
2020-2-29,35,0.0543,0.03,0.28,0.03,0.0214,-0.01,0.0137
2020-2-29,36,0.0529,-0.00857,0.114,0.0529,0.0114,-0.00714,0.00993
2020-2-29,37,0.101,0.0371,0.211,0.0743,0.0586,-0.0157,0.0214
2020-2-29,38,0.0271,0.0186,-0.00286,-0.00714,0.02,-0.00286,0.00389
2020-2-29,39,0.0414,-0.00143,0.267,0.0529,0.0314,-0.0129,0.0155
2020-2-29,40,0.0871,0.0971,0.366,0.0629,0.0286,-0.0143,0.0208
2020-2-29,41,0.0229,0.0343,0.18,0.0329,0.03,-0.00714,0.00984
2020-2-29,42,0.0543,0.0243,0.123,0.0857,0.0243,-0.00857,0.013
2020-2-29,43,0.0543,0.03,0.0614,0.0543,0.0214,-0.00714,0.0108
