date,cityid,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020-1-11,16,-0.054000001,-0.036200002,-0.105,-0.0055399998,-0.040899999
2020-1-11,17,-0.00208,0.0080700004,-0.104,-0.073600002,0.0341
2020-1-11,18,-0.062600002,-0.056899998,0.0050400002,0.0207,-0.033500001
2020-1-11,19,-0.034299999,0.00562,-0.154,-0.032299999,0.0089699998
2020-1-11,20,-0.024700001,0.0087900003,0.0044399998,-0.043299999,-0.036600001
2020-1-11,21,-0.0079600001,0.027000001,0.162,-0.124,-0.074000001
2020-1-11,22,-0.061099999,-0.021500001,-0.121,-0.097800002,-0.00391
2020-1-11,23,-0.054499999,0.044399999,-0.0030400001,-0.12,-0.13600001
2020-1-11,24,-0.0068600001,0.00089000002,0.13,-0.139,0.034499999
2020-1-11,25,0.0285,-0.0221,0.13699999,0.15899999,0.0101
2020-1-11,26,-0.0144,0.040899999,-0.094899997,-0.037900001,-0.052000001
2020-1-11,27,-0.073399998,-0.056299999,-0.155,-0.063000001,-0.0691
2020-1-11,28,-0.0623,-0.027100001,-0.13500001,-0.065499999,-0.052000001
2020-1-11,29,-0.0041899998,-0.118,0.168,0.0296,-0.0601
2020-1-11,30,0.00691,-0.0059199999,0.141,0.035399999,-0.020099999
2020-1-11,31,-0.058200002,-0.0854,,0.0088400003,-0.126
2020-1-11,32,0.015799999,0.0167,0.095200002,0.0080399998,-0.033199999
2020-1-11,33,0.00161,-0.0069900001,0.037799999,0.098800004,-0.034200002
2020-1-11,34,0.0561,-0.051399998,0.183,0.063900001,0.0858
2020-1-11,35,0.0265,-0.0135,-0.118,0.094999999,0.046999998
2020-1-11,36,-0.059599999,-0.030200001,-0.19,0.046500001,-0.072400004
2020-1-11,37,-0.072400004,-0.062100001,0.078400001,0.038600001,-0.178
2020-1-11,38,-0.052999999,-0.063100003,-0.071000002,-0.0163,-0.076800004
2020-1-11,39,-0.0154,-0.081600003,-0.047400001,0.038199998,-0.0049299998
2020-1-11,40,-0.032400001,0.024599999,0.066399999,-0.106,-0.063199997
2020-1-11,41,0.031300001,0.0206,0.131,0.044100001,-0.037999999
2020-1-11,42,-0.0253,-0.094099998,-0.055300001,0.079099998,-0.056600001
2020-1-11,43,-0.034400001,-0.0060000001,0.0097099999,-0.094800003,-0.048999999
2020-1-11,44,-0.103,0.0139,-0.213,-0.18099999,-0.0392
2020-1-11,45,0.0099400003,-0.00217,0.234,-0.0495,-0.017100001
2020-1-11,46,-0.043200001,-0.039299998,-0.041700002,0.085299999,-0.061099999
2020-1-11,47,0.0207,0.030999999,0.152,0.12,0.0125
2020-1-11,48,0.0123,0.040399998,-0.138,0.088299997,0.0285
2020-1-11,49,-0.0094900001,-0.0014,-0.094999999,-0.019300001,0.044
2020-1-11,50,0.0131,-0.044500001,0.032600001,0.089000002,0.00911
2020-1-11,51,-0.017899999,0.0222,-0.085100003,-0.020500001,-0.036600001
2020-1-11,52,0.017100001,-0.000287,0.0638,0.138,-0.0218
2020-1-11,53,-0.045200001,-0.063199997,-0.071800001,0.056899998,-0.0094600003
2020-1-12,1,0.0117,0.0064699999,0.036600001,0.050000001,-0.0173
2020-1-12,2,0.0284,0.0114,0.077600002,-0.016899999,0.0748
2020-1-12,3,-0.025699999,-0.079599999,-0.067900002,0.127,-0.060400002
2020-1-12,4,-0.0233,0.026699999,-0.122,0.028000001,-0.031199999
2020-1-12,5,0.0013,0.024499999,-0.0363,-0.016899999,0.019099999
2020-1-12,6,-0.0049299998,-0.060199998,0.0537,0.024499999,0.0047599999
2020-1-12,7,0.0039499998,0.036600001,0.055399999,-0.0239,-0.0055499999
2020-1-12,8,0.0040000002,0.00098500005,-0.0339,0.028999999,-0.00673
2020-1-12,9,0.0473,0.0166,0.0792,0.073200002,-0.0078800004
2020-1-12,10,0.0044300002,-0.0113,0.1,-0.057500001,-0.022
2020-1-12,11,-0.00569,-0.0187,-0.0111,0.073399998,0.00446
2020-1-12,12,-0.0096699996,-0.0184,0.022399999,0.0155,-0.0199
2020-1-12,13,-0.0153,-0.056499999,0.089500003,-0.00403,-0.0166
2020-1-12,14,-0.0131,-0.0275,0.0832,-0.041299999,-0.032200001
2020-1-12,15,-0.0094299996,-0.0207,0.029100001,-0.076899998,0.036699999
2020-1-12,16,-0.046799999,-0.0125,-0.113,-0.0033199999,-0.025
2020-1-12,17,0.00327,0.022,-0.101,-0.075000003,0.033799998
