date,cityid,case_count,death_count,case_rate,death_rate,new_case_rate,new_death_rate,new_case_count,new_death_count
2020-1-22,Albuquerque,0,0,0.0,0.0,.,.,.,.
2020-1-22,Tucson,0,0,0.0,0.0,.,.,.,.
2020-1-22,Fresno,0,0,0.0,0.0,.,.,.,.
2020-1-22,Sacramento,0,0,0.0,0.0,.,.,.,.
2020-1-22,Atlanta,0,0,0.0,0.0,.,.,.,.
2020-1-22,Kansas City,0,0,0.0,0.0,.,.,.,.
2020-1-22,Miami,0,0,0.0,0.0,.,.,.,.
2020-1-22,Raleigh,0,0,0.0,0.0,.,.,.,.
2020-1-22,Omaha,0,0,0.0,0.0,.,.,.,.
2020-1-22,Oakland,0,0,0.0,0.0,.,.,.,.
2020-1-22,Minneapolis,0,0,0.0,0.0,.,.,.,.
2020-1-22,Tampa,0,0,0.0,0.0,.,.,.,.
2020-1-22,New Orleans,0,0,0.0,0.0,.,.,.,.
2020-1-22,Wichita,0,0,0.0,0.0,.,.,.,.
2020-1-22,Cleveland,0,0,0.0,0.0,.,.,.,.
2020-1-22,Bakersfield,0,0,0.0,0.0,.,.,.,.
2020-1-22,Honolulu,0,0,0.0,0.0,.,.,.,.
2020-1-22,Boise,0,0,0.0,0.0,.,.,.,.
2020-1-22,Salt Lake City,0,0,0.0,0.0,.,.,.,.
2020-1-22,Virginia Beach,0,0,0.0,0.0,.,.,.,.
2020-1-22,Colorado Springs,0,0,0.0,0.0,.,.,.,.
2020-1-22,Tulsa,0,0,0.0,0.0,.,.,.,.
2020-1-23,Los Angeles,0,0,0.0,0.0,.,.,.,.
2020-1-23,New York City,0,0,0.0,0.0,.,.,.,.
2020-1-23,Chicago,0,0,0.0,0.0,.,.,.,.
2020-1-23,Houston,0,0,0.0,0.0,.,.,.,.
2020-1-23,Phoenix,0,0,0.0,0.0,.,.,.,.
2020-1-23,San Diego,0,0,0.0,0.0,.,.,.,.
2020-1-23,Dallas,0,0,0.0,0.0,.,.,.,.
2020-1-23,Las Vegas,0,0,0.0,0.0,.,.,.,.
2020-1-23,Seattle,0,0,0.0,0.0,.,.,.,.
2020-1-23,Fort Worth,0,0,0.0,0.0,.,.,.,.
2020-1-23,San Antonio,0,0,0.0,0.0,.,.,.,.
2020-1-23,San Jose,0,0,0.0,0.0,.,.,.,.
2020-1-23,Detroit,0,0,0.0,0.0,.,.,.,.
2020-1-23,Philadelphia,0,0,0.0,0.0,.,.,.,.
2020-1-23,Columbus,0,0,0.0,0.0,.,.,.,.
2020-1-23,Austin,0,0,0.0,0.0,.,.,.,.
2020-1-23,Charlotte,0,0,0.0,0.0,.,.,.,.
2020-1-23,Indianapolis,0,0,0.0,0.0,.,.,.,.
2020-1-23,Jacksonville,0,0,0.0,0.0,.,.,.,.
2020-1-23,Memphis,0,0,0.0,0.0,.,.,.,.
2020-1-23,San Francisco,0,0,0.0,0.0,.,.,.,.
2020-1-23,El Paso,0,0,0.0,0.0,.,.,.,.
2020-1-23,Baltimore,0,0,0.0,0.0,.,.,.,.
2020-1-23,Portland,0,0,0.0,0.0,.,.,.,.
2020-1-23,Boston,0,0,0.0,0.0,.,.,.,.
2020-1-23,Oklahoma City,0,0,0.0,0.0,.,.,.,.
2020-1-23,Louisville,0,0,0.0,0.0,.,.,.,.
2020-1-23,Denver,0,0,0.0,0.0,.,.,.,.
2020-1-23,Washington,0,0,0.0,0.0,.,.,.,.
2020-1-23,Nashville,0,0,0.0,0.0,.,.,.,.
2020-1-23,Milwaukee,0,0,0.0,0.0,.,.,.,.
2020-1-23,Albuquerque,0,0,0.0,0.0,.,.,.,.
2020-1-23,Tucson,0,0,0.0,0.0,.,.,.,.
2020-1-23,Fresno,0,0,0.0,0.0,.,.,.,.
2020-1-23,Sacramento,0,0,0.0,0.0,.,.,.,.
2020-1-23,Atlanta,0,0,0.0,0.0,.,.,.,.
2020-1-23,Kansas City,0,0,0.0,0.0,.,.,.,.
2020-1-23,Miami,0,0,0.0,0.0,.,.,.,.
2020-1-23,Raleigh,0,0,0.0,0.0,.,.,.,.
2020-1-23,Omaha,0,0,0.0,0.0,.,.,.,.
2020-1-23,Oakland,0,0,0.0,0.0,.,.,.,.
2020-1-23,Minneapolis,0,0,0.0,0.0,.,.,.,.
2020-1-23,Tampa,0,0,0.0,0.0,.,.,.,.
2020-1-23,New Orleans,0,0,0.0,0.0,.,.,.,.
2020-1-23,Wichita,0,0,0.0,0.0,.,.,.,.
2020-1-23,Cleveland,0,0,0.0,0.0,.,.,.,.
2020-1-23,Bakersfield,0,0,0.0,0.0,.,.,.,.
2020-1-23,Honolulu,0,0,0.0,0.0,.,.,.,.
2020-1-23,Boise,0,0,0.0,0.0,.,.,.,.
2020-1-23,Salt Lake City,0,0,0.0,0.0,.,.,.,.
2020-1-23,Virginia Beach,0,0,0.0,0.0,.,.,.,.
2020-1-23,Colorado Springs,0,0,0.0,0.0,.,.,.,.
2020-1-23,Tulsa,0,0,0.0,0.0,.,.,.,.
2020-1-24,Los Angeles,0,0,0.0,0.0,.,.,.,.
2020-1-24,New York City,0,0,0.0,0.0,.,.,.,.
2020-1-24,Chicago,1,0,0.0194,0.0,.,.,.,.
2020-1-24,Houston,0,0,0.0,0.0,.,.,.,.
2020-1-24,Phoenix,0,0,0.0,0.0,.,.,.,.
2020-1-24,San Diego,0,0,0.0,0.0,.,.,.,.
2020-1-24,Dallas,0,0,0.0,0.0,.,.,.,.
2020-1-24,Las Vegas,0,0,0.0,0.0,.,.,.,.
2020-1-24,Seattle,0,0,0.0,0.0,.,.,.,.
2020-1-24,Fort Worth,0,0,0.0,0.0,.,.,.,.
2020-1-24,San Antonio,0,0,0.0,0.0,.,.,.,.
2020-1-24,San Jose,0,0,0.0,0.0,.,.,.,.
2020-1-24,Detroit,0,0,0.0,0.0,.,.,.,.
2020-1-24,Philadelphia,0,0,0.0,0.0,.,.,.,.
2020-1-24,Columbus,0,0,0.0,0.0,.,.,.,.
2020-1-24,Austin,0,0,0.0,0.0,.,.,.,.
2020-1-24,Charlotte,0,0,0.0,0.0,.,.,.,.
2020-1-24,Indianapolis,0,0,0.0,0.0,.,.,.,.
2020-1-24,Jacksonville,0,0,0.0,0.0,.,.,.,.
2020-1-24,Memphis,0,0,0.0,0.0,.,.,.,.
2020-1-24,San Francisco,0,0,0.0,0.0,.,.,.,.
2020-1-24,El Paso,0,0,0.0,0.0,.,.,.,.
2020-1-24,Baltimore,0,0,0.0,0.0,.,.,.,.
2020-1-24,Portland,0,0,0.0,0.0,.,.,.,.
2020-1-24,Boston,0,0,0.0,0.0,.,.,.,.
2020-1-24,Oklahoma City,0,0,0.0,0.0,.,.,.,.
2020-1-24,Louisville,0,0,0.0,0.0,.,.,.,.
2020-1-24,Denver,0,0,0.0,0.0,.,.,.,.
2020-1-24,Washington,0,0,0.0,0.0,.,.,.,.
2020-1-24,Nashville,0,0,0.0,0.0,.,.,.,.
2020-1-24,Milwaukee,0,0,0.0,0.0,.,.,.,.
2020-1-24,Albuquerque,0,0,0.0,0.0,.,.,.,.
2020-1-24,Tucson,0,0,0.0,0.0,.,.,.,.
