date,cityid,merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
2020-1-11,Dallas,0.0026,-0.00569,0.013000000000000001,0.0106,0.0102
2020-1-11,Las Vegas,-0.0007319999900000002,0.00017699999,-0.025900001000000002,-0.0043700002,-0.005650000200000001
2020-1-11,Seattle,0.0242,0.016000001,0.0405,0.0339,0.0128
2020-1-11,Fort Worth,0.0123,0.017000001,0.035799999,0.0006670000099999999,0.0145
2020-1-11,San Antonio,0.0058800001,1.8700001e-05,-0.0117,0.0175,0.0116
2020-1-11,San Jose,-0.0019700001,0.0093900003,-0.0273,0.0221,-0.00047200000999999994
2020-1-11,Detroit,-0.0029800001,0.0046999999,-0.073399998,-0.017100001,-0.0022100001
2020-1-11,Philadelphia,-0.0106,-0.0138,0.0403,-0.008440000000000001,-0.0166
2020-1-11,Columbus,-0.0097899996,-0.00985,-0.0162,-0.00105,0.0041700001
2020-1-11,Austin,0.00011899999999999999,-0.0077,0.020199999,-0.0141,0.0091300001
2020-1-11,Charlotte,0.0060299998,0.0032800001,-0.0082799997,0.016000001,-0.0019100000000000002
2020-1-11,Indianapolis,-0.0297,-0.018100001,-0.023,-0.0656,-0.0123
2020-1-11,Jacksonville,0.0045699999,0.0072599998999999995,-0.0085100001,-0.0016300000000000002,-0.0264
2020-1-11,Memphis,0.0017,0.00125,-0.037000000000000005,-0.0062199999,-0.0082
2020-1-11,San Francisco,0.0175,0.0127,0.058499999000000004,0.0175,0.007640000000000001
2020-1-11,El Paso,-0.0028899998999999997,-0.0087099997,-0.028200001000000002,0.0149,-0.0008200000200000001
2020-1-11,Baltimore,-0.0113,-0.0114,0.0068199998,0.0145,-0.023700001000000002
2020-1-11,Portland,0.0111,0.0103,0.0133,0.0116,0.0392
2020-1-11,Boston,0.00235,0.0010199999999999999,-0.0126,0.043299999000000006,0.006659999999999999
2020-1-11,Oklahoma City,0.0082299998,-0.0043199998,0.053100000999999994,0.028899999,0.0060200002
2020-1-11,Louisville,0.0088600004,-0.00144,0.0151,0.0037799999,0.0118
2020-1-11,Denver,0.0055399998,-0.0030199999,-0.0079399999,0.007640000000000001,-0.005909999799999999
2020-1-11,Washington,-0.0244,-0.0131,-0.08910000300000001,-0.032600001,-0.044799998
2020-1-11,Nashville,0.0149,0.0167,0.0296,0.0076899999,0.0188
2020-1-11,Milwaukee,-0.0392,-0.034000002,-0.0036200001,-0.058699999,-0.031599998
2020-1-11,Albuquerque,0.0125,0.0218,0.035599999,0.0111,-0.0101
2020-1-11,Tucson,-0.00051300001,0.00147,0.0091599999,0.028100001,-0.019099999
