date,cityid,revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
2020-1-11,San Diego,-0.000202,-0.046500001,0.043299999000000006,0.0276,0.0149
2020-1-11,Dallas,-0.025900001000000002,0.0080500003,-0.0867,-0.035300002000000004,-0.0132
2020-1-11,Las Vegas,-0.015,-0.091300003,-0.028000001,0.025699998999999998,-0.0019700001
2020-1-11,Seattle,0.062700003,0.040100001,0.063500002,0.092500001,0.0131
2020-1-11,Fort Worth,-0.0029200001,-0.0091599999,0.0858,-0.063500002,-0.037599999
2020-1-11,San Antonio,-0.011000000000000001,-0.024800001000000002,-0.0233,0.065099999,0.0069099999999999995
2020-1-11,San Jose,0.0020999999,-0.021299999,0.037000000000000005,0.029899999,-0.0049700001
2020-1-11,Detroit,-0.0075099999,-0.049899999,0.097000003,0.0067400001,0.0104
2020-1-11,Philadelphia,-0.0048099998,-0.0229,0.11900000000000001,-0.055,-0.0145
2020-1-11,Columbus,-0.037999999,-0.0491,0.0018800000000000002,-0.08060000099999999,-0.0088200001
2020-1-11,Austin,-0.054000001,-0.036200002,-0.105,-0.0055399998,-0.040899999
2020-1-11,Charlotte,-0.0020800000000000003,0.008070000400000001,-0.10400000000000001,-0.073600002,0.0341
2020-1-11,Indianapolis,-0.062600002,-0.056899998,0.0050400002,0.0207,-0.033500001
2020-1-11,Jacksonville,-0.034299999,0.00562,-0.154,-0.032299998999999996,0.0089699998
2020-1-11,Memphis,-0.024700001,0.0087900003,0.0044399997999999994,-0.043299999000000006,-0.036600001
2020-1-11,San Francisco,-0.0079600001,0.027000001000000003,0.162,-0.124,-0.074000001
2020-1-11,El Paso,-0.061099999,-0.021500001,-0.121,-0.097800002,-0.00391
2020-1-11,Baltimore,-0.054499999,0.044399999,-0.0030400001,-0.12,-0.13600001
2020-1-11,Portland,-0.0068600001,0.00089000002,0.13,-0.139,0.034499998999999996
2020-1-11,Boston,0.0285,-0.0221,0.13699999,0.15899999,0.0101
